Staff Composite 	Player 	 Position 	 Team 	 Brandon Funston	Andy Behrens	Brad Evans	Scott Pianowski	Dalton Del Don	Liz Loza
46	Doug Baldwin	WR21	SEA	44	44	57	36	34	55
47	Drew Brees	QB5	NO	48	34	33	56	53	49
48	Jarvis Landry	WR22	MIA	54	52	48	29	49	50
49	Jeremy Maclin	WR23	KC	43	62	53	33	45	46
50	Greg Olsen	TE3	CAR	58	40	50	41	52	41
51	Julian Edelman	WR24	NE	47	48	51	68	41	44
52	Golden Tate	WR25	DET	53	51	44	44	61	54
53	Jordan Matthews	WR26	PHI	61	64	55	48	50	57
54	Michael Floyd	WR27	ARI	80	46	64	57	48	48
55	Jonathan Stewart	RB20	CAR	51	43	75	55	67	53
56	Ben Roethlisberger	QB6	PIT	74	39	56	77	54	47
57	Jeremy Langford	RB21	CHI	67	60	52	73	47	52
58	Melvin Gordon	RB22	SD	50	53	40	76	92	45
59	Larry Fitzgerald	WR28	ARI	45	50	68	64	75	62
60	Ryan Mathews	RB23	PHI	55	68	60	63	51	67
61	Carson Palmer	QB7	ARI	71	56	69	66	58	65
62	Marvin Jones	WR29	DET	79	65	61	61	62	63
63	Travis Kelce	TE4	KC	72	71	73	50	77	59
64	John Brown	WR30	ARI	64	66	63	78	65	66
65	Kelvin Benjamin	WR31	CAR	63	57	89	59	72	68
66	Allen Hurns	WR32	JAC	85	61	78	65	63	64
67	Tyler Lockett	WR33	SEA	62	78	58	58	84	78
68	Arian Foster	RB24	MIA	65	70	54	90	66	77
69	Delanie Walker	TE5	TEN	66	72	72	67	76	72
70	Emmanuel Sanders	WR34	DEN	94	76	76	60	64	61
71	Eli Manning	QB8	NYG	70	63	90	79	60	69
72	Frank Gore	RB25	IND	56	73	86	53	113	74
73	Matt Jones	RB26	WAS	68	83	81	85	56	82
74	Giovani Bernard	RB27	CIN	77	82	91	46	82	79
75	DeSean Jackson	WR35	WAS	59	77	93	70	80	81
76	Coby Fleener	TE6	NO	86	59	59	72	78	107
77	Josh Gordon	WR36	CLE	60	94	66	80	87	76
78	Rashad Jennings	RB28	NYG	83	54	79	69	101	80
79	Duke Johnson	RB29	CLE	73	93	82	62	86	86
80	Philip Rivers	QB9	SD	90	67	98	71	68	98
81	Michael Crabtree	WR37	OAK	91	69	62	89	90	92
82	Derrick Henry	RB30	TEN	109	86	67	91	69	75
83	Sterling Shepard	WR38	NYG	69	80	70	111	74	99
84	Chris Ivory	RB31	JAC	97	79	74	82	100	71
85	Tom Brady	QB10	NE	117	97	83	95	59	56
86	Blake Bortles	QB11	JAC	76	96	110	75	73	83
87	Devante Parker	WR39	MIA	57	95	100	125	71	70
88	Zach Ertz	TE7	PHI	104	89	95	84	95	89
89	Tyrod Taylor	QB12	BUF	75	111	65	109	108	102
90	Julius Thomas	TE8	JAC	87	87	111	107	107	73
91	Gary Barnidge	TE9	CLE	101	112	88	98	91	88
92	Jameis Winston	QB13	TB	103	132	49	124	81	94
93	Stefon Diggs	WR40	MIN	81	114	80	99	93	117
94	Antonio Gates	TE10	SD	84	92	113	86	98	111
95	Tavon Austin	WR41	LA	107	88	99	88	94	109
96	Danny Woodhead	RB32	SD	82	127	105	81	88	104
