,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
273,Marty Booker\BookMa00,ATL,WR,33,16,1,0,0,0,0,0,1,7,7.00,0,31,16,181,11.31,1,25,43.8,32.8,,101,
274,Keenan Burton\BurtKe00,STL,WR,25,9,6,0,0,0,0,0,0,0,,0,45,25,253,10.12,0,25,53.3,37.8,,99,
275,David Clowney\ClowDa00,NYJ,WR,24,13,3,0,0,0,0,0,3,1,0.33,0,22,14,191,13.64,1,25,41.7,31.2,,100,
276,Kenneth Darby\DarbKe00,STL,RB,27,16,1,0,0,0,0,0,27,152,5.63,0,24,18,96,5.33,0,25,45.8,33.8,,83,
277,Domenik Hixon\HixoDo00,NYG,WR,25,14,2,0,0,0,0,0,0,0,,0,28,15,187,12.47,1,25,47.2,35.2,,102,
278,John Kuhn\KuhnJo00,GNB,RB,27,14,6,0,0,0,0,0,8,18,2.25,1,7,7,47,6.71,2,25,31.5,28.0,,84,
279,Gary Barnidge\BarnGa01,CAR,TE,24,16,3,0,0,0,0,0,0,0,,0,21,12,242,20.17,0,24,38.7,29.2,,46,
280,Ahman Green\GreeAh00,GNB,RB,32,8,0,0,0,0,0,0,41,160,3.90,1,5,3,18,6.00,0,24,29.8,25.3,,85,
281,Justin Peelle\PeelJu00,ATL,TE,30,15,8,0,0,0,0,0,0,0,,0,15,12,115,9.58,2,24,38.5,29.5,,47,
282,Charlie Frye\FryeCh00,OAK,QB,28,3,3,53,87,581,1,4,4,41,10.25,0,0,0,0,,0,23,30.3,27.3,,48,
283,Leonard Pope\PopeLe00,KAN,TE,26,13,8,0,0,0,0,0,0,0,,0,30,20,174,8.70,1,23,46.4,33.4,,48,
284,Laurent Robinson\RobiLa01,STL,WR,24,3,3,0,0,0,0,0,0,0,,0,23,13,167,12.85,1,23,38.7,29.2,,103,
285,Kahlil Bell\BellKa00,CHI,RB,23,7,0,0,0,0,0,0,40,220,5.50,0,3,1,4,4.00,0,22,26.4,22.9,,86,
286,David Carr\CarrDa00,NYG,QB,30,6,0,21,33,225,1,0,9,27,3.00,1,0,0,0,,0,22,21.2,20.7,,49,
287,Vonta Leach\LeacVo00,HOU,RB,28,16,4,0,0,0,0,0,0,0,,0,26,20,155,7.75,1,22,44.5,31.5,,88,
288,Shawn Nelson\NelsSh00,BUF,TE,24,12,12,0,0,0,0,0,0,0,,0,29,17,156,9.18,1,22,40.6,28.1,,49,
289,Chad Simpson\SimpCh00,IND,RB,24,14,0,0,0,0,0,0,15,102,6.80,2,4,3,1,0.33,0,22,34.3,29.8,,87,
290,Eric Weems\WeemEr00,ATL,WR,24,16,0,0,0,0,0,0,8,53,6.63,0,6,6,50,8.33,2,22,26.8,22.3,,104,
291,Jason Hill\HillJa00,SFO,WR,24,11,0,0,0,0,0,0,0,0,,0,16,9,90,10.00,2,21,30.0,25.5,,105,
292,Darrius Heyward-Bey\HeywDa00,OAK,WR,22,11,11,0,0,0,0,0,2,19,9.50,0,40,9,124,13.78,1,20,32.3,24.8,,106,
293,Brad Hoover\HoovBr00,CAR,RB,33,11,4,0,0,0,0,0,20,52,2.60,1,9,4,23,5.75,1,20,23.0,20.5,,89,
